TAG_ROOT				Dungeons and Dragons 3.5 Edition Rules Help 	~Abilities~[TAG_ABILITIES]~Races~[TAG_RACES]~Classes~[TAG_CLASSES]~Skills~[TAG_SKILLS]~Feats~[TAG_FEATS]~Character Description~[TAG_DESCRIPTION]~Equipment~[TAG_EQUIPMENT]~Combat~[TAG_COMBAT]~Adventuring~[TAG_ADVENTURING]~Magic~[TAG_MAGIC]~Spells~[TAG_SPELLS]~Interface Help (General Interfaces)~[TAG_INTERFACE_HELP]~Interface Help (Specific Interfaces)~[TAG_HMU_ROOT]~Character Conditions~[TAG_CHARACTER_CONDITIONS]~Creature Special Abilities~[TAG_SPECIAL_ABILITIES]~Tutorial~[TAG_TUT_ROOT]
TAG_COMBAT_ACTIONS	TAG_COMBAT			Combat Actions	There are many actions a character can take during combat.  All actions have an ~action cost~[TAG_ACTION_COST].  Some actions provoke ~attacks of opportunity~[TAG_AOO].[CMD_CHILDREN]
TAG_AID_ANOTHER	TAG_SPECIAL_ATTACKS			Aid Another	In combat, you can help a friend attack or defend by distracting or interfering with opponents.  Select a friendly target.  That target gains a +2 bonus to his attack rolls until your next turn.You can also use this action to wake a friend under the influence of a ~sleep~[TAG_SPELLS_SLEEP] spell.  Aiding another is a ~standard action~[TAG_STANDARD_ACTION] which does not provoke an ~attack of opportunity~[TAG_AOO].    
TAG_AOO	TAG_COMBAT			Attack Of Opportunity	A single extra ~melee attack~[TAG_MELEE_ATTACKS] per round that a combatant can make when an opponent within reach takes an action which provokes an attack of opportunity.  Actions which provoke attacks of opportunity include casting a spell, using a ranged weapon, and moving through a threatened area.In Greyhawk: Temple of Elemental Evil all characters automatically make the first attack of opportunity which presents itself.
TAG_ARMOR_CLASS	TAG_COMBAT			Armor Class (AC)	Armor Class (AC) is a number representing a character's ability to avoid being hit in combat.  Higher numbers are better.  An opponent's attack roll must equal or exceed the target's Armor Class to hit it.  A character's Armor Class is 10 + all applicable modifiers (typically armor bonus, shield bonus, dexterity modifier, and size modifier).
TAG_ABILITIES				Abilities	[CMD_CHILDREN]
TAG_ABILITY_SCORES	TAG_ABILITIES			Ability Scores	Ability scores are created by rolling four six-sided dice. For each of the six ~abilities~[TAG_THE_ABILITIES] roll the four dice, disregarding the lowest die roll and totalling the three highest ones. The result is a number between 3 (horrible) and 18 (tremendous). The average ability score for a typical commoner is 10 or 11, but your characters are not typical.Your rolls will be displayed on screen. If you are unhappy with them, you have the option of rolling again (not in the ~Ironman Mode~[TAG_IRONMAN] however) until you are satisfied with them. You then will need to assign the six die rolls to that character's ~abilities~[TAG_THE_ABILITIES].After each assigned die roll, the ~ability modifier~[TAG_ABILITY_MODIFIERS] will be displayed. Finally, it is important for spellcasters to know which ability governs bonus spells for their particular type of magic. ~Wizards~[TAG_WIZARDS] use ~intelligence~[TAG_INTELLIGENCE]; ~clerics~[TAG_CLERICS], ~druids~[TAG_DRUIDS], ~paladins~[TAG_PALADINS], and ~rangers~[TAG_RANGERS] use ~wisdom~[TAG_WISDOM]; ~sorcerers~[TAG_SORCERERS] and ~bards~[TAG_BARDS] use ~charisma~[TAG_CHARISMA]. If the spellcaster's abilitiy score is 10 or lower, you will not be able to cast spells tied to that ability.
TAG_THE_ABILITIES	TAG_ABILITIES			The Abilities	[CMD_CHILDREN]
TAG_STRENGTH	TAG_THE_ABILITIES			Strength	Strength measures your character's muscle and physical power. This ability is especially important for ~fighters~[TAG_FIGHTERS], ~barbarians~[TAG_BARBARIANS], ~paladins~[TAG_PALADINS], ~rangers~[TAG_RANGERS], and ~monks~[TAG_MONKS] because it helps them prevail in combat. Strength also limits the amount of ~equipment~[TAG_EQUIPMENT] your characters can carry.You apply your character's Strength modifier to:-- Melee attack rolls-- Damage rolls when using a melee weapon or a thrown weapon-- Strength checks (for breaking down doors and the like). 
TAG_DEXTERITY	TAG_THE_ABILITIES			Dexterity	Dexterity measures hand-eye coordination, agility, reflexes, and balance. This ability is the most important one for ~rogues~[TAG_ROGUES], but it is also high on the list for characters who typically wear light or medium armor (~rangers~[TAG_RANGERS] or ~barbarians~[TAG_BARBARIANS]) or no armor at all (~monks~[TAG_MONKS], ~wizards~[TAG_WIZARDS], or ~sorcerers~[TAG_SORCERERS]), and for anyone who wants to be a skilled archer.You apply your character's Dexterity modifier to:-- Ranged attack rolls, including those for attacks made with light crossbows (~light crossbow~[TAG_WEAPONS_CROSSBOW_LIGHT] or ~heavy crossbows~[TAG_WEAPONS_CROSSBOW_HEAVY]), ~throwing axes~[TAG_WEAPONS_AXE_THROWING], and other ranged weapons.-- ~Armor Class (AC)~[TAG_ARMOR_CLASS], provided that the character can react to the attack.-- ~Reflex~[TAG_REFLEX] ~saving throws~[TAG_SAVING_THROW_DESC] for avoiding ~fireballs~[TAG_SPELLS_FIREBALL] and other attacks that you can escape by moving quickly.-- ~Hide~[TAG_HIDE], ~Move Silently~[TAG_MOVE_SILENTLY], ~Open Lock~[TAG_OPEN_LOCK], and ~Sleight of Hand~[TAG_SLEIGHT]. These are the ~skills~[TAG_SKILLS] that have Dexterity as their key ability.
